4,-43;
7,-23;
13,36;
16,-8;
6,-5;
-3,16;
-2,6;
-14,6;
0,-28;
-4,-7;
-19,18;
8,-2;
10,-14;
4,-40;
-4,-28;
-12,-10;
7,-19;
20,-15;
-4,-34;
-30,-13;
-4,-5;
6,-32;
-12,-44;
6,-7;
51,-2;
2,-44;
-30,-30;
10,-12;
-8,27;
3,-25;
5,-51;
15,1;
23,2;
-18,5;
22,-26;
38,-35;
20,3;
21,17;
-14,-11;
5,-28;
6,15;
-3,26;
19,-23;
-19,-7;
-17,4;
18,-18;
-21,-17;
-9,-15;
21,11;
-13,1;
-2,16;
-10,3;
-7,-40;
27,24;
23,-12;
2,-49;
-3,31;
21,16;
7,-30;
-20,-19;
-25,-14;
-12,-15;
14,10;
8,28;
-42,25;
-5,16;
40,-20;
-18,-15;
19,-15;
9,-36;
-24,3;
11,-7;
-31,-15;
-22,4;
8,-15;
10,-10;
8,11;
-5,0;
9,-15;
3,-10;
-1,-16;
30,-13;
4,-7;
-19,-11;
7,-1;
6,15;
1,12;
20,22;
22,30;
27,14;
26,3;
-35,-7;
-34,2;
6,-7;
-27,-2;
-33,17;
-6,-28;
13,-24;
